Saliency,Classifier,Extractor,Concept Presence,Classes,Fin,Head,Ears,Muzzle,Paws,Tail,Body,Button,Speaker,Digital display,Chain bar,Rose window,Facade,Bell Tower,Bell,Cab,Wheel,Headlights,Hose,Tank,Nozzle,Golf ball dimples,Logo,Canopy,WOE Score
sidu,resnet,florence,casp,tench,-0.4018936757405675,-0.3076517260048261,-0.4018936757405675,0.3500777100444769,1.0429530698964016,0.7017988475297725,0.1314695855569778,-5.22585226412207,-2.330522325558853,-8.812576170403968,-1.5120844404600018,-8.98843095268105,-3.648048347461762,-3.154864442248603,-0.9700724529712994,-0.3869725354389388,-1.3975029068482123,-0.2927609431648321,-7.783357133397092,-1.3370660490990984,-4.321541856473934,-8.130575678183307,-0.5928294800703113,-0.6321089258114447,1.6580299580741182
sidu,resnet,florence,casp,English springer,-0.1277759810539023,1.6487036708036502,-0.8738081322669506,1.5228092028873,0.6224153267531884,1.6309774081464814,0.6475840364750989,-4.951734569435405,-2.466481921562422,-2.0180522761575803,-1.336578514123271,-2.6059831330981487,-3.3739306527750976,-2.47249091657329,-0.2187198175398452,1.7140227006500952,-1.93348980172494,0.5264860181758872,-7.509239438710427,-3.079882966457037,-4.047424161787269,-7.856457983496641,-1.4548653738091917,-6.946241194530501,17.22190646613877
sidu,resnet,florence,casp,cassette player,-0.1045301767459654,-3.162658962085609,-0.8505623279590138,-1.5333050988415269,-2.2367176793766665,-2.045501151325352,-3.2640954048111874,2.4796106895183767,0.1161525150530495,1.5521699416272958,0.6491990861270958,-0.5813323594021509,-3.3506848484671607,-1.330128741114326,-0.2767754055975486,-1.7842074483834294,-1.724416547121438,0.1379893162059922,-1.355688323299573,0.455301579695033,-4.024178357479332,-0.1289095876259303,0.6167421420475907,-6.922995390222564,9.425229566528008
sidu,resnet,florence,casp,chain saw,-0.0293768502267512,-0.3425505032516067,0.432805923029127,-0.5013142723166149,0.3760200876831263,-0.9311821879639456,0.3760513760364974,0.7759691856909552,-0.1464041721925557,-1.6267445966103131,-0.0169552230211671,-2.5075840022709976,-3.2755315219479466,-0.2649614958923463,0.3912487646066693,-0.5691930781107333,0.1929170929033052,0.1407278214831415,0.5764182417072374,0.0115711410128374,-3.9490250309601183,-1.637017188900736,-0.1525668526772778,-1.412305673735499,1.5632560569239813
sidu,resnet,florence,casp,church,-0.0238340175867186,-1.6816068894518303,-6.920178764337901,-1.903723277392507,-8.672880342285904,-3.3596132381044685,-2.776327244996898,-4.8477926059682215,0.8581644264440014,-2.32439661273158,0.5773403416001845,2.2191402041691086,5.384333769891994,1.9547617493570235,-0.4796866766799539,-1.4092852215015323,-2.7553784920361437,-1.3896764899855487,-7.405297475243243,-1.0334566851792877,-3.9434821983200856,-7.752516020029457,-0.4447326403396086,2.553890974995841,20.915399869244002
sidu,resnet,florence,casp,French horn,-0.012674440896728,-0.5289646348093715,1.5642758245941768,0.2301289092490677,-0.3481370981026952,-1.3824891031900242,-0.5512426833049293,0.7926715950209784,-0.9341667431665566,-1.1936547576443397,-0.0729622088074366,-8.59921171783721,-3.2588291126179234,-1.1293332313363775,0.177029869998929,-8.216613630744174,0.2096195022333284,-0.8143227114795617,-1.970475654005929,-1.6982235122410412,-3.932322621630095,-2.322264420741983,-1.277312570545595,-6.831139654373327,1.3057437020019764
sidu,resnet,florence,casp,garbage truck,0.0773769747726067,-0.0308234246627421,-6.818967771978576,-1.2140974866054115,-2.4639026386030243,-1.6366838449558996,0.1107527258094061,-4.746581613608896,0.8947581131035569,-1.291439460173557,-0.0403971329899111,1.4028523532503223,-3.168777696948589,-0.1118327028176473,-0.7558586620026722,1.4779709765994125,1.919459461585004,0.5405738640355189,0.3108438937988158,1.3420577712403232,-3.84227120596076,-2.2322130050726483,0.7867926073445275,-0.5865083301635257,8.625099115942383
sidu,resnet,florence,casp,gas pump,0.1297036367547579,-1.201801525995262,0.5918864100106362,-0.5420696389699105,-2.002483865875943,-0.9808434900591414,-1.0572387304766009,-4.694254951626744,0.4911991778576514,2.3704847707651377,0.01192952899224,-0.0168675479124922,-3.1164510349664374,0.4851090816517263,0.6528229067392792,-0.6755660694319117,0.6781965215569352,-0.0996921232389285,2.295070650293751,0.9243040378594918,6.228776172061048,-1.4779367019192269,0.4153095493115257,-0.1005116133161192,8.29219924662512
sidu,resnet,florence,casp,golf ball,0.3238356526167005,-2.734293132722943,-0.4221964985963478,-0.736889214959799,-2.2174439607589305,-0.1827028309930631,-2.138988960409378,-4.500122935764802,-0.8961380217595378,-1.9767269425281608,0.0602724092597135,-2.154371499427546,-2.9223190191044948,0.0882510069511055,0.8469549226012218,-7.880103537230744,-0.4972928714678923,-0.1563262563998608,-0.5066160028476667,0.1449851657501586,-3.5958125281166664,4.0767360049903365,0.7018752811406919,-6.494629560859898,10.642156284685745
sidu,resnet,florence,casp,parachute,0.3424825659822268,1.1980725802746763,0.3424825659822268,0.2350926648291396,1.3280729064252814,0.7973277450154068,1.6233205179401002,-4.481476022399276,0.7039781070851203,-8.068199928681173,0.5356608362040993,-1.7263469413420425,-2.9036721057389685,0.1979255638730621,-0.0110356598058856,-1.3371947056552371,-0.4007967946395196,0.3710780248162728,0.5759494850084359,-0.1775599475558009,-3.57716561475114,-1.967107413863028,-0.1972753903555015,0.896923528004343,12.829811695699407
