Saliency,Classifier,Extractor,Concept Presence,Classes,Wall,Window,Roof,Facade,Tree,Vegetation,Rock,Ice,Mountain Peak,Boat,Beach,Water,Sky,Sidewalk,Streetlights,Car,WOE Score
lime,vgg,florence,casp,forest,-1.7401129975902356,-10.838502033204502,-3.970363844173644,-0.5660175666000136,-0.4373069669411207,-0.7877018795482269,-2.4460706117841733,-2.650444156284029,-11.15235138178651,-1.8750407586355369,-0.6737921347386857,-2.025203916586019,-1.5944060047438722,-0.7296710932463615,-2.493244582732178,-9.951673188720012,3.4461830612765816
lime,vgg,florence,casp,glacier,-0.0376995302586418,-2.638083802860001,-1.5039963917212529,0.300630730685399,-1.2209579571062654,-0.9423855954288932,0.7735683090325152,1.2251442398261172,0.6557441187349354,-0.4034453267343774,0.0241548840053833,0.2183380161934682,0.1605997306919315,-1.6870105936810498,-1.8170419674331704,-2.510966573116709,7.991317211821697
lime,vgg,florence,casp,mountain,-0.3161486741075778,-2.952455586203885,-0.8049567823561268,0.5591886804659385,0.4181209039831774,0.3737419652085618,0.8592647936401338,0.2192110858089073,1.2213718344166735,-0.0074417531894412,-0.1444733121867369,0.4601055780677674,0.6117473666172606,-1.0722422218175094,-0.565818846154766,-2.3462815198765337,2.2209330851207647
lime,vgg,florence,casp,sea,0.0320004517036849,-1.918101505080815,-0.9490242898887812,0.454957863809706,-1.061718767346949,-2.1415400251659507,1.2576898483911412,1.1349695063063012,0.4979111814332126,0.802093042403091,0.6070623284075733,1.1392904776515924,0.4541723626938949,-0.0880576252187828,0.445371146149337,-3.4450298587301105,6.462454956145693
lime,vgg,florence,casp,street,1.1068807961550535,2.473538950218159,2.252211832423414,0.188413577731098,1.1760005896492778,1.991040372652589,-2.185836700007844,-1.820719273847363,-0.6065775892574652,1.2235723132534069,1.0305906213750298,0.3925875264097862,0.5638550619265339,2.0574309820028067,1.6823600840073585,3.337291281180229,8.888423999714323
lime,vgg,florence,iou,buildings,0.4519784175164678,2.828543868336244,1.2022081568687708,-1.0390504887828955,-0.3557104418188082,-1.7851649560665437,-4.413374615584378,-4.49211137470314,-2.8984079975457817,-0.2726563213558151,-2.1573329741954,-2.397010572442672,-0.6229907311777327,-1.1793502652569912,-5.85943589398264,-1.4040189194341826,18.7403113827909
lime,vgg,florence,iou,forest,-2.8867408704286386,-7.598330482958389,-8.460212032279474,-0.2423655254167107,0.1596537052294613,0.43169455485548,-9.53996712123632,-3.286535988791304,-10.336917605666653,-8.003598319982567,-0.0625079286025398,-2.157339190841594,-2.678263405875088,-0.612599159361507,-5.574080210900954,-6.600815575594357,12.089960033412362
lime,vgg,florence,iou,glacier,-0.1087559262538577,-7.525508482602161,-1.849708051747739,0.3756031062027083,-1.2062969493716158,-0.0930904230660119,1.0633849514866576,1.263204988188729,1.0018514124524869,-1.7960000500181772,0.3747748314096781,0.391787986563447,-0.0706941723358087,-1.964702240061824,-5.501258210544727,-6.5279935752381295,16.134855604870175
lime,vgg,florence,iou,mountain,-0.1033399663667988,-7.204238665698986,-1.2295728548890077,0.5851277706119009,1.0716047915830411,1.568864835787405,1.05238182365634,0.2490125041173156,1.99433143236788,-1.0516721553863806,0.0234039188276207,0.0820281288963786,0.8405280204313843,-1.4990739145480134,-5.179988393641551,-6.206723758334954,10.0502570670027
lime,vgg,florence,iou,sea,-0.5100023826071123,-7.195771947450941,-0.6264748312238875,0.1763398617423572,-1.2471648000160434,-1.5193521887353798,0.9350105179859964,1.3165249958840264,-0.771240372193708,1.3813402903274683,0.8549679687819487,1.8363789508021835,0.7360363394923835,-0.24006849134524,-5.171521675393507,-6.19825704008691,11.177688884968152
